OrderID,Amount,Tax,Currency,Date,Time,FileName
1432159,8.75 EUR,1.33,EUR,30-10-2024,14:09:35,hds-03-20241030_140935-6970.stm
271250,8.55 EUR,1.30,EUR,25-10-2024,22:48:39,hds-03-20241025_214839-6544.stm
276137,21.80 EUR,3.33,EUR,01-11-2024,10:39:30,hds-03-20241101_103933-6683.stm
1423259,3.60 EUR,0.55,EUR,28-10-2024,15:26:16,hds-04-20241028_152616-6454.stm
273808,9.55 GBP,0.00 GBP[mag][bold: off],EUR,29-10-2024,16:45:39,hds-04-20241029_164540-6775.stm
271748,13.10 EUR,2.00,EUR,27-10-2024,12:32:04,hds-03-20241027_123204-6631.stm
,,,EUR,,,hds-04-20241029_215828-6986.stm
276439,8.60 EUR,1.31,EUR,01-11-2024,13:15:34,hds-04-20241101_131534-6631.stm
1431134,2.50 EUR,0.00,EUR,30-10-2024,12:26:06,hds-04-20241030_122606-6862.stm
275863,2.20 EUR,0.34,EUR,31-10-2024,21:33:17,hds-04-20241031_213317-6631.stm
,,,EUR,,,hds-04-20241028_164936-6391.stm
,,,EUR,,,hds-04-20241031_122514-6391.stm
271688,5.80 EUR,0.86,EUR,27-10-2024,10:03:52,hds-04-20241027_100352-6631.stm
271891,23.90 EUR,3.65,EUR,27-10-2024,19:38:47,hds-04-20241027_193848-6725.stm
271937,3.20 EUR,0.46,EUR,28-10-2024,07:19:09,hds-04-20241028_071909-6798.stm
,,,EUR,,,hds-04-20241030_200930-7018.stm
273732,5.00 EUR,0.77,EUR,29-10-2024,14:40:25,hds-03-20241029_144026-6798.stm
276535,2.50 EUR,0.38,EUR,01-11-2024,14:42:52,hds-04-20241101_144252-6631.stm
,,,EUR,,,hds-04-20241031_100908-6841.stm
271294,9.00 EUR,1.37,EUR,26-10-2024,10:14:46,hds-03-20241026_091447-6798.stm
,,,EUR,,,hds-04-20241030_194405-7018.stm
271786,5.00 EUR,0.76,EUR,27-10-2024,14:32:58,hds-04-20241027_143258-6631.stm
,,,EUR,,,hds-04-20241030_093023-6798.stm
,,,EUR,,,hds-04-20241029_120935-6529.stm
272757,6.70 GBP,0.00 GBP[mag][bold: off],EUR,28-10-2024,15:06:38,hds-04-20241028_150638-6775.stm
276842,2.50 EUR,0.38,EUR,02-11-2024,09:59:41,hds-03-20241102_095941-6631.stm
,,,EUR,,,hds-04-20241026_203451-6986.stm
,,,EUR,,,hds-03-20241026_091446-6798.stm
,,,EUR,,,hds-03-20241026_083212-6798.stm
274396,13.20 GBP,0.00 GBP[mag][bold: off],EUR,30-10-2024,11:47:51,hds-04-20241030_114751-6775.stm
275747,34.00 EUR,5.19,EUR,31-10-2024,15:33:13,hds-03-20241031_153432-6683.stm
,,,EUR,,,hds-03-20241028_102217-7018.stm
276510,3.70 EUR,0.56,EUR,01-11-2024,14:13:43,hds-04-20241101_141343-6798.stm
274167,9.95 GBP,0.04 GBP[mag][bold: off],EUR,30-10-2024,10:28:05,hds-03-20241030_102806-6775.stm
1439706,,,EUR,01-11-2024,14:05:09,hds-03-20241101_140509-6529.stm
276188,3.60 EUR,0.55,EUR,01-11-2024,11:09:15,hds-04-20241101_110916-6798.stm
1435778,,,EUR,31-10-2024,13:00:07,hds-03-20241031_130007-6529.stm
1418383,10.10 EUR,1.54,EUR,26-10-2024,18:29:23,hds-03-20241026_172924-6454.stm
,,,EUR,,,hds-03-20241031_092610-6791.stm
271560,5.00 EUR,0.76,EUR,26-10-2024,18:41:45,hds-03-20241026_174145-6806.stm
,,,EUR,,,hds-03-20241101_121721-6684.stm
,,,EUR,,,hds-03-20241030_130242-6789.stm
271747,11.16 EUR,1.70,EUR,27-10-2024,12:31:04,hds-04-20241027_123105-6725.stm
276844,3.00 EUR,0.46,EUR,02-11-2024,10:03:45,hds-03-20241102_100345-6798.stm
,,,EUR,,,hds-04-20241026_093755-7018.stm
,,,EUR,,,hds-03-20241026_193200-6986.stm
271425,25.10 EUR,3.17,EUR,26-10-2024,13:59:37,hds-04-20241026_125937-6970.stm
,,,EUR,,,hds-04-20241026_113455-6391.stm
272416,4.30 EUR,0.65,EUR,28-10-2024,11:55:21,hds-04-20241028_115521-6631.stm
271617,18.15 EUR,2.77,EUR,26-10-2024,20:23:52,hds-04-20241026_192352-6544.stm
275579,6.60 EUR,1.01,EUR,31-10-2024,12:51:01,hds-03-20241031_125101-6683.stm
,,,EUR,,,hds-03-20241026_125414-7018.stm
1438360,4.50 EUR,0.69,EUR,01-11-2024,11:49:15,hds-03-20241101_114915-6862.stm
,,,EUR,,,hds-04-20241031_224846-6544.stm
,,,EUR,,,hds-03-20241030_132344-6789.stm
,,,EUR,,,hds-04-20241030_195124-6514.stm
,,,EUR,,,hds-04-20241029_204611-6986.stm
,,,EUR,,,hds-04-20241028_121753-6798.stm
1422924,,,EUR,28-10-2024,13:22:17,hds-03-20241028_132218-6529.stm
274812,2.00 EUR,0.31,EUR,30-10-2024,16:11:06,hds-03-20241030_161117-6683.stm
275359,17.50 EUR,2.67,EUR,31-10-2024,11:39:56,hds-03-20241031_114005-6683.stm
,,,EUR,,,hds-04-20241031_110136-6841.stm
274931,10.50 EUR,1.60,EUR,30-10-2024,21:49:49,hds-04-20241030_214950-6806.stm
271658,9.05 EUR,1.39,EUR,26-10-2024,23:32:53,hds-04-20241027_101457-6544.stm
276405,9.60 EUR,1.22,EUR,01-11-2024,12:56:21,hds-03-20241101_125622-6798.stm
1416854,2.50 EUR,0.38,EUR,25-10-2024,18:32:22,hds-04-20241025_173222-6454.stm
,,,EUR,,,hds-04-20241025_211339-6725.stm
275883,6.00 EUR,0.92,EUR,01-11-2024,07:11:46,hds-03-20241101_071147-6798.stm
,,,EUR,,,hds-03-20241029_075223-6798.stm
272811,18.10 EUR,2.77,EUR,28-10-2024,17:03:18,hds-03-20241028_170318-6544.stm
274754,8.50 EUR,1.27,EUR,30-10-2024,14:41:28,hds-04-20241030_144128-6631.stm
271770,5.00 EUR,0.73,EUR,27-10-2024,13:36:39,hds-03-20241027_133639-6631.stm
,,,EUR,,,hds-04-20241101_071330-6971.stm
1425174,8.00 EUR,1.22,EUR,29-10-2024,11:25:13,hds-03-20241029_112513-6862.stm
271738,21.90 EUR,3.34,EUR,27-10-2024,12:12:58,hds-03-20241027_121258-6725.stm
275666,26.30 EUR,4.02,EUR,31-10-2024,13:39:59,hds-03-20241031_133959-6683.stm
,,,EUR,,,hds-03-20241030_111447-7018.stm
1421586,2.50 EUR,0.38,EUR,28-10-2024,11:06:01,hds-04-20241028_110601-6862.stm
,,,EUR,,,hds-03-20241101_071146-6798.stm
,,,EUR,,,hds-03-20241029_214921-6986.stm
,,,EUR,,,hds-04-20241030_134619-7018.stm
,,,EUR,,,hds-03-20241028_113934-6798.stm
,,,EUR,,,hds-03-20241028_173004-6514.stm
,,,EUR,,,hds-03-20241029_190347-6986.stm
1439699,,,EUR,01-11-2024,14:03:33,hds-03-20241101_140333-6529.stm
272860,2.50 EUR,0.38,EUR,28-10-2024,19:27:36,hds-04-20241028_192736-6631.stm
,,,EUR,,,hds-03-20241101_135446-6684.stm
,,,EUR,,,hds-03-20241030_130210-7018.stm
271551,5.25 EUR,0.80,EUR,26-10-2024,18:28:29,hds-04-20241026_172829-6544.stm
1430134,5.50 EUR,0.84,EUR,30-10-2024,10:39:12,hds-03-20241030_103912-6454.stm
,,,EUR,,,hds-03-20241026_190902-6986.stm
1438121,1.50 EUR,0.23,EUR,01-11-2024,10:56:24,hds-03-20241101_105624-6862.stm
274915,2.80 EUR,0.41,EUR,30-10-2024,20:52:57,hds-04-20241030_205257-6631.stm
,,,EUR,,,hds-03-20241031_172049-6798.stm
,17.40 EUR,1.92,EUR,,,hds-04-20241025_204349-6970.stm
,,,EUR,,,hds-04-20241031_144910-6391.stm
1421600,10.95 EUR,1.67,EUR,28-10-2024,11:10:07,hds-04-20241028_111007-6862.stm
,,,EUR,,,hds-03-20241029_183426-6986.stm
271745,9.80 EUR,1.50,EUR,27-10-2024,12:22:38,hds-03-20241027_122238-6631.stm
1419223,2.70 EUR,0.39,EUR,27-10-2024,08:30:45,hds-03-20241027_083045-6454.stm
273157,7.15 GBP,0.00 GBP[mag][bold: off],EUR,29-10-2024,10:32:47,hds-04-20241029_103248-6775.stm
,54.70 EUR,8.36,EUR,,,hds-04-20241026_122611-6683.stm
,,,EUR,,,hds-04-20241029_121936-7018.stm
,,,EUR,,,hds-04-20241102_103834-7018.stm
1426914,2.20 GBP,0.00 GBP[mag][bold: off],EUR,29-10-2024,13:24:45,hds-04-20241029_132445-6352.stm
,,,EUR,,,hds-04-20241028_173525-7018.stm
271818,2.50 EUR,0.37,EUR,27-10-2024,16:01:54,hds-04-20241027_160154-6631.stm
275306,7.20 EUR,1.10,EUR,31-10-2024,11:16:19,hds-03-20241031_111620-6798.stm
1422756,1.10 GBP,0.00 GBP[mag][bold: off],EUR,28-10-2024,12:58:31,hds-04-20241028_125832-6352.stm
1418079,6.50 EUR,1.00,EUR,26-10-2024,15:39:29,hds-03-20241026_143929-6454.stm
,,,EUR,,,hds-03-20241031_082120-6841.stm
1433611,6.70 EUR,1.01,EUR,31-10-2024,08:52:29,hds-04-20241031_085229-6841.stm
1434901,6.50 EUR,0.99,EUR,31-10-2024,12:11:49,hds-04-20241031_121149-6862.stm
1420914,2.40 EUR,0.36,EUR,28-10-2024,08:15:39,hds-03-20241028_081539-6841.stm
1433677,,,EUR,31-10-2024,08:57:28,hds-04-20241031_085728-6529.stm
271334,6.90 GBP,0.00 GBP[mag][bold: off],EUR,26-10-2024,11:36:55,hds-03-20241026_103655-6775.stm
,,,EUR,,,hds-04-20241030_170748-7018.stm
1422515,,,EUR,28-10-2024,12:36:24,hds-04-20241028_123624-6529.stm
271240,10.50 EUR,1.60,EUR,25-10-2024,22:00:31,hds-04-20241025_210032-6544.stm
275947,1.50 EUR,0.21,EUR,01-11-2024,08:32:40,hds-03-20241101_083240-6631.stm
,,,EUR,,,hds-03-20241101_181637-7018.stm
276800,4.50 EUR,0.69,EUR,02-11-2024,08:43:50,hds-04-20241102_084350-6631.stm
1438077,2.50 EUR,0.38,EUR,01-11-2024,10:44:36,hds-03-20241101_104436-6862.stm
,,,EUR,,,hds-03-20241027_145615-7018.stm
,7.00 EUR,0.62,EUR,,,hds-04-20241102_073151-6970.stm
,,,EUR,,,hds-04-20241031_133903-6391.stm
,,,EUR,,,hds-04-20241029_191535-6986.stm
275771,5.25 EUR,0.80,EUR,31-10-2024,16:24:45,hds-04-20241031_162446-6544.stm
,,,EUR,,,hds-04-20241028_120455-6789.stm
,,,EUR,,,hds-04-20241101_125743-6789.stm
,,,EUR,,,hds-03-20241101_141940-7018.stm
275861,11.20 EUR,1.71,EUR,31-10-2024,21:19:55,hds-03-20241031_211955-6631.stm
,7.00 EUR,0.62,EUR,,,hds-04-20241102_073150-6970.stm
274871,16.30 EUR,2.49,EUR,30-10-2024,18:08:44,hds-04-20241030_180844-6631.stm
271698,3.00 EUR,0.44,EUR,27-10-2024,10:23:29,hds-03-20241027_102329-6631.stm
276226,19.00 EUR,2.90,EUR,01-11-2024,11:34:25,hds-03-20241101_113426-6605.stm
274889,5.00 EUR,0.76,EUR,30-10-2024,18:52:15,hds-03-20241030_185215-6631.stm
275759,13.25 GBP,0.18 GBP[mag][bold: off],EUR,31-10-2024,16:01:39,hds-03-20241031_160139-6775.stm
1437664,3.60 EUR,0.55,EUR,01-11-2024,09:00:27,hds-03-20241101_090027-6862.stm
,,,EUR,,,hds-04-20241030_190413-6394.stm
,,,EUR,,,hds-04-20241025_193241-6725.stm
,,,EUR,,,hds-04-20241030_134227-6391.stm
1419915,4.00 EUR,0.61,EUR,27-10-2024,12:59:29,hds-03-20241027_125929-6454.stm
276772,26.00 EUR,3.96,EUR,02-11-2024,07:42:42,hds-04-20241102_074242-6605.stm
1431322,2.00 GBP,0.33 GBP[mag][bold: off],EUR,30-10-2024,12:37:49,hds-04-20241030_123749-6352.stm
275955,2.50 EUR,0.38,EUR,01-11-2024,08:38:41,hds-04-20241101_083841-6798.stm
271109,14.10 GBP,0.00 GBP[mag][bold: off],EUR,25-10-2024,16:23:23,hds-03-20241025_152328-6391.stm
276346,19.90 EUR,3.02,EUR,01-11-2024,12:29:26,hds-04-20241101_122926-6544.stm
